cluster,n,N,cx,depth
0,16,136,5,9
1,16,130,26,30
2,16,126,22,23
3,16,58,24,27
4,16,38,28,27
5,16,37,21,15
6,16,37,30,24
7,16,36,31,32
8,16,37,21,22
9,16,36,45,33
10,16,36,38,30
11,16,55,48,38
12,16,53,44,36
13,16,35,31,27
14,16,44,38,27
15,16,40,45,40
16,16,54,20,20
17,16,51,23,20
18,16,39,14,17
19,16,42,38,29
20,16,37,41,35
21,16,38,22,22
22,16,36,54,37
23,16,28,35,25
24,16,29,39,30
25,16,48,12,12
26,16,36,27,22
27,16,33,32,30
28,16,34,18,18
29,16,36,13,13
30,16,31,31,28
31,16,23,38,30
32,16,29,31,33
33,16,32,23,28
34,16,25,26,21
35,16,38,25,26
36,16,27,21,22
37,16,28,20,17
38,16,28,20,19
39,16,20,35,27
40,16,35,24,24
41,16,22,36,31
42,16,29,35,25
43,16,24,24,25
44,16,33,34,26
45,16,23,24,21
46,16,19,28,24
47,16,19,30,30
48,16,26,30,27
49,16,19,19,19
50,16,20,30,30
51,16,16,33,28
52,16,15,31,32
53,16,19,14,15
54,16,22,18,16
55,16,16,31,32
56,16,18,16,21
57,16,15,25,24
58,16,22,24,23
59,16,16,32,33
60,16,14,39,36
61,16,13,30,26
62,16,15,28,31
63,16,14,29,34
64,16,14,23,25
65,16,15,21,22
66,16,15,39,32
67,16,17,38,41
68,16,11,21,20
69,16,14,23,24
70,16,14,32,23
71,16,14,27,24
72,16,12,15,22
73,16,12,16,16
74,16,10,30,32
75,16,11,14,15
76,16,11,33,22
77,16,9,18,23
78,16,8,21,21
79,16,7,27,31
80,16,10,29,24
81,16,8,17,19
82,16,7,26,31
83,16,7,14,17
84,16,6,20,29
85,16,5,8,10
86,16,5,11,21
87,16,4,8,13
88,16,3,3,5
89,16,3,5,11
90,16,2,1,5
91,16,2,0,2
