cluster,n,N,cx,depth
0,18,104,38,31
1,18,31,51,40
2,18,110,25,25
3,18,32,21,16
4,18,62,45,42
5,18,22,34,33
6,18,120,23,23
7,18,29,54,37
8,18,100,46,34
9,18,35,36,28
10,18,89,27,22
11,18,97,35,26
12,18,23,46,37
13,18,106,26,25
14,18,103,46,39
15,18,98,56,43
16,18,94,32,36
17,18,67,36,26
18,18,47,53,40
19,18,36,29,27
20,18,28,49,37
21,18,38,53,44
22,18,99,41,34
23,18,44,58,41
24,18,98,43,32
25,18,32,27,32
26,18,99,32,33
27,18,69,38,31
28,18,56,61,44
29,18,54,29,27
30,18,57,64,42
31,18,57,39,27
32,18,50,36,30
33,18,44,24,20
34,18,75,26,27
35,18,83,40,41
36,18,74,42,30
37,18,70,29,25
38,18,34,42,31
39,18,33,46,39
40,18,29,58,39
41,18,41,57,41
42,18,32,45,33
43,18,39,53,43
44,18,47,53,38
45,18,64,35,26
46,18,21,53,52
47,18,51,40,28
48,18,52,40,36
49,18,38,24,23
50,18,40,34,25
51,18,51,38,33
52,18,44,43,34
53,18,75,44,41
54,18,41,27,22
55,18,43,37,33
56,18,48,52,35
57,18,29,51,33
58,18,27,31,22
59,18,43,40,35
60,18,25,44,40
61,18,40,51,43
62,18,30,53,34
63,18,43,37,24
64,18,27,48,36
65,18,40,42,30
66,18,27,59,46
67,18,57,39,28
68,18,41,36,30
69,18,31,33,35
70,18,68,39,33
71,18,66,36,25
72,18,65,31,22
73,18,61,58,42
74,18,41,55,39
75,18,45,52,41
76,18,42,39,38
77,18,65,51,32
78,18,38,54,39
79,18,39,53,47
80,18,22,43,38
81,18,34,39,28
82,18,38,56,40
83,18,45,31,25
84,18,29,61,46
85,18,18,49,33
86,18,31,31,26
87,18,56,36,29
88,18,31,29,25
89,18,39,30,30
90,18,25,53,36
91,18,32,65,47
92,18,37,45,42
93,18,40,48,33
94,18,31,49,37
95,18,44,60,39
96,18,43,67,44
97,18,36,49,35
98,18,47,37,29
99,18,33,35,31
100,18,57,44,38
101,18,37,38,30
102,18,53,36,22
103,18,30,51,42
104,18,20,36,26
105,18,21,47,34
106,18,36,50,35
107,18,21,64,45
108,18,34,76,57
109,18,24,35,28
110,18,25,40,37
111,18,28,32,28
112,18,41,28,24
113,18,32,36,38
114,18,27,54,40
115,18,27,54,44
116,18,26,38,30
117,18,26,30,24
118,18,25,59,42
119,18,18,21,23
120,18,36,31,21
121,18,29,56,41
122,18,25,52,38
123,18,25,61,50
124,18,15,43,32
125,18,23,45,31
126,18,20,33,27
127,18,34,44,46
128,18,34,38,29
129,18,21,38,31
130,18,20,51,34
131,18,30,35,28
132,18,15,44,47
133,18,18,33,25
134,18,18,37,35
135,18,21,44,34
136,18,29,47,34
137,18,17,54,41
138,18,25,31,30
139,18,17,31,24
140,18,15,23,23
141,18,19,11,17
142,18,17,44,29
143,18,15,39,33
144,18,19,36,27
145,18,14,31,28
146,18,26,29,30
147,18,15,47,36
148,18,15,52,40
149,18,24,33,24
150,18,13,50,41
151,18,25,40,26
152,18,15,49,34
153,18,15,44,36
154,18,22,30,29
155,18,16,43,32
156,18,13,39,28
157,18,18,41,33
158,18,16,55,45
159,18,23,44,32
160,18,16,47,41
161,18,23,38,36
162,18,17,23,26
163,18,19,56,45
164,18,14,38,30
165,18,19,57,44
166,18,19,37,26
167,18,12,59,47
168,18,13,37,28
169,18,14,57,43
170,18,13,48,39
171,18,14,29,18
172,18,11,42,36
173,18,13,47,38
174,18,19,35,32
175,18,14,45,46
176,18,13,39,40
177,18,14,26,21
178,18,13,23,20
179,18,15,45,38
180,18,12,40,37
181,18,12,29,31
182,18,9,35,32
183,18,10,29,22
184,18,9,27,32
185,18,12,29,25
186,18,10,30,31
187,18,10,26,26
188,18,6,23,28
189,18,5,4,7
