cluster,n,N,cx,depth
0,14,13,22,25
1,14,33,20,21
2,14,12,20,22
3,14,20,21,24
4,14,29,12,12
5,14,36,23,24
6,14,27,20,20
7,14,93,26,27
8,14,26,20,22
9,14,24,25,26
10,14,26,23,19
11,14,28,14,21
12,14,28,20,28
13,14,75,5,5
14,14,32,20,17
15,14,65,7,11
16,14,25,20,25
17,14,27,17,22
18,14,20,21,21
19,14,45,13,14
20,14,16,15,16
21,14,19,20,16
22,14,36,8,11
23,14,30,3,8
24,14,26,9,17
25,14,16,16,19
26,14,26,11,8
27,14,17,18,18
28,14,15,18,25
29,14,11,24,24
30,14,15,18,23
31,14,40,22,20
32,14,21,19,21
33,14,11,22,21
34,14,16,12,17
35,14,11,19,23
36,14,11,15,17
37,14,9,7,10
38,14,14,9,10
39,14,6,9,13
40,14,12,16,15
41,14,7,3,3
42,14,6,7,9
43,14,9,7,13
44,14,1,0,2
